id,Time_Entered_Page,Time_Left_Page,bill_first_name,billing_last_name,billing_address_1,billing_address_2,billing_city,billing_state,billing_zip,billing_email,billing_confirm_email,billing_phone,ship_different_address,shipping_first_name,shipping_last_name,shipping_address_1,shipping_address_2,shipping_city,shipping_state,shipping_zip,account_username,account_password,add_delivery_note,product_size,product_quality,cart_subtotal,applied_coupon,sales_tax,order_total,add_coupon_click,coupon_code
11,"Fri Jan 30 2015 22:37:18 ","Fri Jan 30 2015 22:37:41 ",,,,,,,,,,,1,,,,,,,,,,,"24x30x1, ",Best,$22.70,,$1.87,$24.57,,
12,"Sat Jan 31 2015 00:27:20 ","Sat Jan 31 2015 00:27:25 ",,,,,,,,,,,1,,,,,,,,,,,"10x30x1, ",Best,$83.70,,$6.91,$90.61,,
13,"Sat Jan 31 2015 00:27:35 ","Sat Jan 31 2015 00:28:10 ",,,,,,,,,,,1,,,,,,,,,,,"10x30x1, ",Best,$83.70,,$6.91,$90.61,,
14,"Sat Jan 31 2015 00:42:32 ","Sat Jan 31 2015 00:42:37 ",,,,,,,,,,,1,,,,,,,,,,,"10x30x1, ",Better,$14.28,,$1.18,$15.46,,
15,"Sat Jan 31 13:12:37 CST 2","Sat Jan 31 13:13:05 CST 2",,,,,,,,,,,1,,,,,,,,,,,"16x25x1, ",Good,$7.57,,$0.62,$8.19,,
16,"Sat Jan 31 15:07:21 CST 2","Sat Jan 31 15:09:56 CST 2",,,,,,,,,,,1,,,,,,,,,,,"16x25x1, ",Good,$7.57,,$0.62,$8.19,,
17,"Sat Jan 31 2015 14:35:30 ","Sat Jan 31 2015 15:18:43 ",Doug,Carroll,"265 FRITZ WAY",,CIBOLO,TX,78108,,,,1,,,,,,,,,,,"12x24x1, 20x36x1, ",Best,$48.83,,$4.03,$52.86,,
18,"Sat Jan 31 2015 17:49:16 ","Sat Jan 31 2015 17:49:21 ",,,,,,,,,,,1,,,,,,,,,,,"14x24x1, ",Best,$16.74,,$1.38,$18.12,,
19,"Sat Jan 31 2015 17:49:34 ","Sat Jan 31 2015 17:49:52 ",,,,,,,,,,,1,,,,,,,,,,,"14x24x1, ",Best,$16.74,,$1.38,$18.12,,
20,"Sat Jan 31 2015 17:50:09 ","Sat Jan 31 2015 17:51:17 ",,,,,,,,,,,1,,,,,,,,,,,"14x30x1, 25x25x1, ",Good,$85.70,,$7.07,$92.77,,
21,"Sat Jan 31 2015 17:52:03 ","Sat Jan 31 2015 17:52:07 ",Albert,Lattimer,"332 Royal Falcon",,"Del Rio",TX,78840,,,8307650065,1,,,,,,,,,,,"14x24x1, ",Best,$16.74,,$1.38,$18.12,,
22,"Sat Jan 31 2015 20:28:44 ","Sat Jan 31 2015 20:28:47 ",,,,,,,,,,,1,,,,,,,,,,,"13x20x1, ",Good,$15.14,,$1.25,$16.39,,
23,"Sun Feb 01 2015 04:58:06 ","Sun Feb 01 2015 04:58:14 ",,,,,,,,,,,1,,,,,,,,,,,"20x25x4, ",Better,$25.01,,$2.06,$27.07,,
24,"Sun Feb 01 2015 14:52:10 ","Sun Feb 01 2015 14:53:04 ",,,,,,,,,,,1,,,,,,,,,,,"12x24x1, 20x25x1, ",Better,$20.06,,$1.66,$21.72,,
25,"Mon Feb 02 2015 00:57:26 ","Mon Feb 02 2015 00:57:54 ",,,,,,,,,,,1,,,,,,,,,,,"20x25x2, ",Best,$51.45,,$4.24,$55.69,,
26,"Mon Feb 02 2015 00:58:01 ","Mon Feb 02 2015 00:58:04 ",,,,,,,,,,,1,,,,,,,,,,,"20x25x2, ",Best,$51.45,,$4.24,$55.69,,
27,"Mon Feb 02 2015 06:14:09 ","Mon Feb 02 2015 06:15:01 ",,,,,,,,,,,1,,,,,,,,,,,"20x24x1, ",Better,$11.08,,$0.91,$11.99,,
28,"Mon Feb 02 2015 09:36:37 ","Mon Feb 02 2015 09:38:42 ",david,test3,asdasd,asdasda,asdasda,AL,77046,davidb@senterracorp.com,,7134884080,1,david,test3,asdasd,asdasda,asdasda,AL,77046,,,,"25x32x1, ",Good,$84.00,,$6.93,$90.93,,
29,"Mon Feb 02 2015 09:42:03 ","Mon Feb 02 2015 09:42:10 ",Jenny,Ferguson,"9014 Six Rovers Lane",,"Missouri City",TX,77459,jimjenferg@yahoo.com,Jimjenferg@yahoo.com,281-778-9015,1,Jenny,Ferguson,"9014 Six Rovers Lane",,"Missouri City",TX,77459,,,,"25x32x1, ",Good,$70.00,,$5.78,$75.78,,
30,"Mon Feb 02 2015 11:47:12 ","Mon Feb 02 2015 11:47:23 ",,,,,,,,,,,1,,,,,,,,,,,"14x18x1, ",Best,$16.74,,$1.38,$18.12,,
31,"Mon Feb 02 2015 11:47:55 ","Mon Feb 02 2015 11:48:11 ",,,,,,,,,,,1,,,,,,,,,,,"14x18x1, ",Best,$16.74,,$1.38,$18.12,,
32,"Mon Feb 02 2015 11:49:05 ","Mon Feb 02 2015 11:49:10 ",,,,,,,,,,,1,,,,,,,,,,,"14x18x1, ",Best,$33.48,,$2.76,$36.24,,
33,"Mon Feb 02 2015 12:25:35 ","Mon Feb 02 2015 12:25:39 ",,,,,,,,,,,1,,,,,,,,,,,"24x24x1, ",Good,$9.82,,$0.81,$10.63,,
34,"Mon Feb 02 2015 12:26:59 ","Mon Feb 02 2015 12:27:03 ",,,,,,,,,,,1,,,,,,,,,,,"24x24x1, ",Good,$9.82,,$0.81,$10.63,,
35,"Mon Feb 02 2015 14:49:50 ","Mon Feb 02 2015 14:50:00 ",,,,,,,,,,,1,,,,,,,,,,,"20x20x1, ",Best,$13.42,,$1.11,$14.53,,
36,"Mon Feb 02 2015 15:15:05 ","Mon Feb 02 2015 15:15:21 ",,,,,,,,,,,1,,,,,,,,,,,"12x36x1, ",Better,$12.46,,$1.03,$13.49,,
37,"Mon Feb 02 2015 15:15:40 ","Mon Feb 02 2015 15:15:42 ",,,,,,,,,,,1,,,,,,,,,,,"12x36x1, ",Better,$12.46,,$1.03,$13.49,,
38,"Mon Feb 02 2015 15:15:42 ","Mon Feb 02 2015 15:15:45 ",,,,,,,,,,,1,,,,,,,,,,,"12x36x1, ",Better,$12.46,,$1.03,$13.49,,
39,"Mon Feb 02 2015 15:17:36 ","Mon Feb 02 2015 15:19:20 ",MIRANDA,RAMIREZ,"1916 N. 45th St.",,McAllen,TX,,,,,1,,,,,,,,,,,"12x36x1, ",Better,$24.92,,$2.06,$26.98,,
40,"Tue Feb 03 2015 13:14:23 ","Tue Feb 03 2015 13:16:02 ",,,,,,,,,,,1,,,,,,,,,,,"10x10x1, ",Better,$10.90,,$0.90,$11.80,,
41,"Tue Feb 03 2015 19:45:27 ","Tue Feb 03 2015 19:45:55 ",,,,,,,,,,,1,,,,,,,,,,,"16x25x2, 20x20x1, 20x25x1, 16x20x4, 8½x23x2, 8½x22",Good,$71.66,,$5.91,$77.57,,
42,"Tue Feb 03 2015 20:50:19 ","Tue Feb 03 2015 20:50:46 ",,,,,,,,,,,1,,,,,,,,,,,"20x20x4, ",Good,$18.91,,$1.56,$20.47,,
43,"Tue Feb 03 2015 21:32:04 ","Tue Feb 03 2015 21:32:45 ",,,,,,,,,,,1,,,,,,,,,,,"16x20x1, 20x25x1, ",Better,$19.56,,$1.61,$21.17,,
44,"Tue Feb 03 2015 21:32:04 ","Tue Feb 03 2015 21:32:48 ",,,,,,,,,,,1,,,,,,,,,,,"16x20x1, 20x25x1, ",Better,$19.56,,$1.61,$21.17,,
45,"Wed Feb 04 2015 09:12:38 ","Wed Feb 04 2015 10:14:07 ",,,,,,,,,,,1,,,,,,,,,,,"20x20x4, ",Good,$113.46,,$9.36,$122.82,,
46,"Wed Feb 04 2015 17:43:42 ","Wed Feb 04 2015 18:14:07 ",,,,,,,,,,,1,,,,,,,,,,,"10x10x1, ",Best,$14.60,,$1.20,$15.80,,
47,"Thu Feb 05 2015 03:16:12 ","Thu Feb 05 2015 03:16:18 ",,,,,,,,,,,1,,,,,,,,,,,"16x25x4, ",Best,$29.77,,$2.46,$32.23,,
48,"Thu Feb 05 2015 11:11:48 ","Thu Feb 05 2015 11:11:58 ",,,,,,,,,,,1,,,,,,,,,,,"20x25x4, ",Good,$20.49,,$1.69,$22.18,,
49,"Thu Feb 05 2015 11:11:48 ","Thu Feb 05 2015 11:11:58 ",,,,,,,,,,,1,,,,,,,,,,,"20x25x4, ",Good,$20.49,,$1.69,$22.18,,
50,"Thu Feb 05 2015 11:11:48 ","Thu Feb 05 2015 11:12:01 ",,,,,,,,,,,1,,,,,,,,,,,"20x25x4, ",Good,$20.49,,$1.69,$22.18,,
51,"Thu Feb 05 2015 11:11:48 ","Thu Feb 05 2015 11:12:01 ",,,,,,,,,,,1,,,,,,,,,,,"20x25x4, ",Good,$20.49,,$1.69,$22.18,,
52,"Thu Feb 5 13:04:43 CST 20","Thu Feb 5 13:05:00 CST 20",,,,,,,,,,,1,,,,,,,,,,,"20x25x2, ",Best,$17.15,,$1.41,$18.56,,
53,"Thu Feb 5 13:05:29 CST 20","Thu Feb 5 13:05:33 CST 20",,,,,,,,,,,1,,,,,,,,,,,"20x25x2, ",Best,$17.15,,$1.41,$18.56,,
54,"Thu Feb 5 13:07:06 CST 20","Thu Feb 5 13:07:11 CST 20",,,,,,,,,,,1,,,,,,,,,,,"20x25x2, ",Best,$34.30,,$2.83,$37.13,,
55,"Thu Feb 5 13:07:16 CST 20","Thu Feb 5 13:07:18 CST 20",,,,,,,,,,,1,,,,,,,,,,,"20x25x2, ",Best,$34.30,,$2.83,$37.13,,
56,"Thu Feb 05 2015 19:32:42 ","Thu Feb 05 2015 19:32:51 ",,,,,,,,,,,1,,,,,,,,,,,"16x25x2, ",Good,$9.43,,$0.78,$10.21,,
57,"Thu Feb 5 20:26:54 CST 20","Thu Feb 5 20:27:01 CST 20",,,,,,,,,,,1,,,,,,,,,,,"14x14x1, ",Better,$14.28,,$1.18,$15.46,,
58,"Fri Feb 06 2015 12:17:13 ","Fri Feb 06 2015 12:17:29 ",,,,,,,,,,,1,,,,,,,,,,,"20x30x1, ",Best,$14.99,,$1.24,$16.23,,
59,"Fri Feb 06 2015 18:39:46 ","Fri Feb 06 2015 18:40:00 ",,,,,,,,,,,1,,,,,,,,,,,"20x20x1, ",Best,$13.42,,$1.11,$14.53,,
60,"Fri Feb 06 2015 18:39:46 ","Fri Feb 06 2015 18:40:00 ",,,,,,,,,,,1,,,,,,,,,,,"20x20x1, ",Best,$13.42,,$1.11,$14.53,,
61,"Fri Feb 06 2015 18:39:46 ","Fri Feb 06 2015 18:40:01 ",,,,,,,,,,,1,,,,,,,,,,,"20x20x1, ",Best,$13.42,,$1.11,$14.53,,
62,"Fri Feb 06 2015 18:39:46 ","Fri Feb 06 2015 18:40:03 ",,,,,,,,,,,1,,,,,,,,,,,"20x20x1, ",Best,$13.42,,$1.11,$14.53,,
63,"Fri Feb 06 2015 18:39:46 ","Fri Feb 06 2015 18:40:04 ",,,,,,,,,,,1,,,,,,,,,,,"20x20x1, ",Best,$13.42,,$1.11,$14.53,,
64,"Sun Feb 08 2015 10:37:58 ","Sun Feb 08 2015 10:38:06 ",,,,,,,,,,,1,,,,,,,,,,,"20x36x1, ",Better,$14.99,,$1.24,$16.23,,
65,"Sun Feb 08 2015 12:11:56 ","Sun Feb 08 2015 12:12:26 ",,,,,,,,,,,1,,,,,,,,,,,"10x30x1, ",Best,$16.74,,$1.38,$18.12,,
66,"Sun Feb 08 2015 12:50:45 ","Sun Feb 08 2015 12:50:51 ",,,,,,,,,,,1,,,,,,,,,,,"20x20x1, ",Best,$53.68,,$4.43,$58.11,,
67,"Sun Feb 08 2015 14:47:19 ","Sun Feb 08 2015 14:47:23 ",,,,,,,,,,,1,,,,,,,,,,,"12x24x1, ",Best,$35.49,,$2.93,$38.42,,
68,"Sun Feb 08 2015 14:52:58 ","Sun Feb 08 2015 14:53:57 ",DONNA,HOPPER,"24245 Wilderness Oak #3105",,"San Antonio",TX,78258,donnahopper@live.com,donnahopper@live.com,2103142145,1,,,,,,,,,,,"12x24x1, ",Best,$35.49,,$2.93,$38.42,,
69,"Sun Feb 08 2015 15:37:43 ","Sun Feb 08 2015 15:37:58 ",,,,,,,,,,,1,,,,,,,,,,,"12x24x1, ",Best,$35.49,,$2.93,$38.42,,
70,"Sun Feb 08 2015 15:41:44 ","Sun Feb 08 2015 15:41:45 ",DONNA,HOPPER,"24245 Wilderness Oak #3105",,"San Antonio",TX,78258,donnahopper@live.com,donnahopper@live.com,2103142145,1,,,,,,,,"Donna Hopper",,,"12x24x1, ",Best,$35.49,,$2.93,$38.42,,
71,"Sun Feb 08 2015 15:41:52 ","Sun Feb 08 2015 15:41:53 ",DONNA,HOPPER,"24245 Wilderness Oak #3105",,"San Antonio",TX,78258,donnahopper@live.com,donnahopper@live.com,2103142145,1,,,,,,,,"Donna Hopper",,,"12x24x1, ",Best,$35.49,,$2.93,$38.42,,
72,"Sun Feb 08 2015 17:23:25 ","Sun Feb 08 2015 17:23:39 ",,,,,,,,,,,1,,,,,,,,,,,"20x25x02, ",Good,$15.14,,$1.25,$16.39,,
73,"Mon Feb 09 2015 10:02:44 ","Mon Feb 09 2015 10:05:22 ",david,test3,asdasd,asdasda,asdasda,AL,77046,davidb@senterracorp.com,,7134884080,1,david,test3,asdasd,asdasda,asdasda,AL,77046,,,,"20x30x1, ",Better,$11.49,,$0.95,$12.44,,
74,"Mon Feb 09 2015 10:05:56 ","Mon Feb 09 2015 10:06:06 ",david,test3,asdasd,asdasda,asdasda,AL,77046,davidb@senterracorp.com,,7134884080,1,david,test3,asdasd,asdasda,asdasda,AL,77046,,,,"20x20x4, ",Better,$22.31,,$1.84,$24.15,,
75,"Mon Feb 09 2015 10:06:08 ","Mon Feb 09 2015 10:06:10 ",david,test3,asdasd,asdasda,asdasda,AL,77046,davidb@senterracorp.com,,7134884080,1,david,test3,asdasd,asdasda,asdasda,AL,77046,,,,"20x20x4, ",Better,$22.31,,$1.84,$24.15,,
76,"Mon Feb 09 2015 10:28:12 ","Mon Feb 09 2015 10:31:27 ",,,,,,,,,,,1,,,,,,,,,,,"20x25x1, ",Best,$14.90,,$1.23,$16.13,,
77,"Mon Feb 09 2015 10:31:37 ","Mon Feb 09 2015 10:31:55 ",,,,,,,,,,,1,,,,,,,,,,,"20x25x1, ",Best,$14.90,,$1.23,$16.13,,
78,"Mon Feb 09 2015 10:32:50 ","Mon Feb 09 2015 10:32:57 ",,,,,,,,,,,1,,,,,,,,,,,"20x25x1, ",Best,$14.90,,$1.23,$16.13,,
79,"Mon Feb 09 2015 10:32:50 ","Mon Feb 09 2015 10:32:58 ",,,,,,,,,,,1,,,,,,,,,,,"20x25x1, ",Best,$14.90,,$1.23,$16.13,,
80,"Mon Feb 09 2015 10:32:50 ","Mon Feb 09 2015 10:33:00 ",,,,,,,,,,,1,,,,,,,,,,,"20x25x1, ",Best,$14.90,,$1.23,$16.13,,
81,"Mon Feb 09 2015 10:35:15 ","Mon Feb 09 2015 10:46:58 ",,,,,Allen,TX,75013,amshul1@yahoo.com,,,1,,,,,,,,,,,"20x25x1, ",Best,$44.70,,$3.69,$48.39,,
82,"Mon Feb 09 2015 10:49:31 ","Mon Feb 09 2015 11:08:56 ",david,test3,asdasd,asdasda,asdasda,AL,77046,davidb@senterracorp.com,,7134884080,1,david,test3,asdasd,asdasda,asdasda,AL,77046,,,,"20x30x1, ",Better,$22.98,,$1.90,$24.88,,
83,"Mon Feb 09 2015 13:22:11 ","Mon Feb 09 2015 13:22:17 ",,,,,,,,,,,1,,,,,,,,,,,"20x25x4, ",Good,$20.49,,$1.69,$22.18,,
84,"Mon Feb 09 2015 15:20:24 ","Mon Feb 09 2015 15:20:30 ",,,,,,,,,,,1,,,,,,,,,,,"18x18x1, ",Good,$8.32,,$0.69,$9.01,,
85,"Mon Feb 09 2015 16:46:44 ","Mon Feb 09 2015 16:47:02 ",,,,,,,,,,,1,,,,,,,,,,,"14x10x1, ",Best,$23.06,,$1.90,$24.96,,
86,"Mon Feb 09 2015 17:14:52 ","Mon Feb 09 2015 17:15:08 ",,,,,,,,,,,1,,,,,,,,,,,"20x20x1, ",Better,$10.37,,$0.86,$11.23,,
87,"Tue Feb 10 2015 13:40:53 ","Tue Feb 10 2015 13:41:00 ",,,,,,,,,,,1,,,,,,,,,,,"20x25x4, ",Better,$25.01,,$2.06,$27.07,,
88,"Tue Feb 10 13:58:48 CST 2","Tue Feb 10 13:59:11 CST 2",,,,,,,,,,,1,,,,,,,,,,,"22x22x1, 23x21½x1¼, ",Best,$50.05,,$4.13,$54.18,,
89,"Tue Feb 10 14:02:45 CST 2","Tue Feb 10 14:02:57 CST 2",,,,,,,,,,,1,,,,,,,,,,,"23x21½x1, ",Best,$23.06,,$1.90,$24.96,,
90,"Tue Feb 10 14:10:06 CST 2","Tue Feb 10 14:10:40 CST 2",,,,,,,,,,,1,,,,,,,,,,,"23x21½x1, ",Best,$23.06,,$1.90,$24.96,,
91,"Wed Feb 11 2015 14:36:38 ","Wed Feb 11 2015 14:36:45 ",,,,,,,,,,,1,,,,,,,,,,,"14x30x1, ",Better,$21.94,,$1.81,$23.75,,
92,"Wed Feb 11 2015 14:39:12 ","Wed Feb 11 2015 14:40:11 ",,,,,,,,,,,1,,,,,,,,,,,"23x21½x1, 21½x19¾x1, ",Best,$46.12,,$3.81,$49.93,,
93,"Wed Feb 11 2015 14:40:35 ","Wed Feb 11 2015 14:41:49 ",,,,,,,,,,,1,,,,,,,,,,,"10x10x1, ",Good,$9.48,,$0.78,$10.26,,
94,"Thu Feb 12 2015 13:32:43 ","Thu Feb 12 2015 13:32:53 ",,,,,,,,,,,1,,,,,,,,,,,"20x21x2, ",Good,$18.57,,$1.53,$20.10,,
95,"Thu Feb 12 2015 13:35:38 ","Thu Feb 12 2015 13:36:09 ",,,,,,,,,,,1,,,,,,,,,,,"10x10x1, 14x24x1, ",Better,$25.18,,$2.08,$27.26,,
96,"Thu Feb 12 2015 14:16:47 ","Thu Feb 12 2015 14:17:11 ",,,,,,,,,,,1,,,,,,,,,,,"12x12x1, ",Better,$9.37,,$0.77,$10.14,,
97,"Thu Feb 12 2015 18:10:27 ","Thu Feb 12 2015 18:10:27 ",,,,,,,,,,,1,,,,,,,,,,,"20x20x1, ",Good,$34.40,,$2.84,$37.24,,
98,"Thu Feb 12 2015 20:51:45 ","Thu Feb 12 2015 20:51:56 ",,,,,,,,,,,1,,,,,,,,,,,"20x20x1, ",Best,$13.42,,$1.11,$14.53,,
99,"Thu Feb 12 2015 20:51:45 ","Thu Feb 12 2015 20:51:56 ",,,,,,,,,,,1,,,,,,,,,,,"20x20x1, ",Best,$13.42,,$1.11,$14.53,,
100,"Thu Feb 12 2015 20:51:45 ","Thu Feb 12 2015 20:51:56 ",,,,,,,,,,,1,,,,,,,,,,,"20x20x1, ",Best,$13.42,,$1.11,$14.53,,
101,"Thu Feb 12 2015 20:51:45 ","Thu Feb 12 2015 20:51:57 ",,,,,,,,,,,1,,,,,,,,,,,"20x20x1, ",Best,$13.42,,$1.11,$14.53,,
102,"Thu Feb 12 2015 20:51:45 ","Thu Feb 12 2015 20:51:59 ",,,,,,,,,,,1,,,,,,,,,,,"20x20x1, ",Best,$13.42,,$1.11,$14.53,,
103,"Thu Feb 12 2015 20:51:45 ","Thu Feb 12 2015 20:51:59 ",,,,,,,,,,,1,,,,,,,,,,,"20x20x1, ",Best,$13.42,,$1.11,$14.53,,
104,"Thu Feb 12 2015 20:51:45 ","Thu Feb 12 2015 20:52:02 ",,,,,,,,,,,1,,,,,,,,,,,"20x20x1, ",Best,$13.42,,$1.11,$14.53,,
105,"Thu Feb 12 2015 20:51:45 ","Thu Feb 12 2015 20:52:03 ",,,,,,,,,,,1,,,,,,,,,,,"20x20x1, ",Best,$13.42,,$1.11,$14.53,,
106,"Thu Feb 12 2015 20:51:45 ","Thu Feb 12 2015 20:52:05 ",,,,,,,,,,,1,,,,,,,,,,,"20x20x1, ",Best,$13.42,,$1.11,$14.53,,
107,"Fri Feb 13 2015 09:10:19 ","Fri Feb 13 2015 09:17:39 ",,,,,,,,,,,1,,,,,,,,,,,"23x20½x½, ",Better,$31.10,,$2.57,$33.67,,
108,"Fri Feb 13 2015 09:18:00 ","Fri Feb 13 2015 09:19:18 ",,,,,,,,,,,1,,,,,,,,,,,"23x20½x½, ",Better,$31.10,,$2.57,$33.67,,
109,"Fri Feb 13 2015 09:18:00 ","Fri Feb 13 2015 09:19:19 ",,,,,,,,,,,1,,,,,,,,,,,"23x20½x½, ",Better,$31.10,,$2.57,$33.67,,
110,"Fri Feb 13 2015 09:18:00 ","Fri Feb 13 2015 09:19:19 ",,,,,,,,,,,1,,,,,,,,,,,"23x20½x½, ",Better,$31.10,,$2.57,$33.67,,
111,"Fri Feb 13 2015 09:20:28 ","Fri Feb 13 2015 09:20:35 ",,,,,,,,,,,1,,,,,,,,,,,"23x20⅝x⅝, ",Better,$31.10,,$2.57,$33.67,,
112,"Sat Feb 14 2015 14:53:04 ","Sat Feb 14 2015 16:17:19 ",,,,,,,,,,,1,,,,,,,,,,,"20x25x4, ",Best,$29.77,,$2.46,$32.23,,
113,"Sun Feb 15 2015 15:26:56 ","Sun Feb 15 2015 15:27:03 ",,,,,,,,,,,1,,,,,,,,,,,"12x12x1, 12x20x1, ",Best,$23.66,,$1.95,$25.61,,
114,"Mon Feb 16 2015 12:45:16 ","Mon Feb 16 2015 12:45:43 ",,,,,,,,,,,1,,,,,,,,,,,"24x24x1, ",Better,$11.86,,$0.98,$12.84,,
115,"Mon Feb 16 2015 12:47:27 ","Mon Feb 16 2015 12:48:02 ",,,,,,,,,,,1,,,,,,,,,,,"24x24x1, ",Better,$0.00,,$0.00,$0.00,,
116,"Mon Feb 16 2015 12:48:31 ","Mon Feb 16 2015 12:49:05 ",,,,,,,,,,,1,,,,,,,,,,,"24x24x1, ",Better,$23.72,DRIVING1,1.66,$21.82,yes,driving1
117,"Mon Feb 16 2015 15:50:32 ","Mon Feb 16 2015 15:51:15 ",,,,,,,,,,,1,,,,,,,,,,,"16x25x4, 20x24x2, 20x25x2, 20x30x2, 25x25x2, ",Better,$77.70,,$6.41,$84.11,,
118,"Mon Feb 16 2015 15:51:21 ","Mon Feb 16 2015 15:51:33 ",,,,,,,,,,,1,,,,,,,,,,,"16x25x4, 20x24x2, 20x25x2, 20x30x2, 25x25x2, ",Good,$67.61,,$5.58,$73.19,,
119,"Mon Feb 16 2015 15:51:40 ","Mon Feb 16 2015 15:52:14 ",,,,,,,,,,,1,,,,,,,,,,,"16x25x4, 20x24x2, 20x25x2, 20x30x2, 25x25x2, ",Best,$103.04,,$8.50,$111.54,,
120,"Mon Feb 16 2015 15:53:57 ","Mon Feb 16 2015 15:55:42 ",,,,,,,,,,,1,,,,,,,,,,,"18x20x2, 18x24x2, 18x25x2, 20x20x2, 20x21x2, 24x24",Good,$78.12,,$6.44,$84.56,,
121,"Mon Feb 16 2015 15:55:50 ","Mon Feb 16 2015 15:57:13 ",,,,,,,,,,,1,,,,,,,,,,,"18x20x2, 18x24x2, 18x25x2, 20x20x2, 20x21x2, 24x24",Better,$94.05,,$7.76,$101.81,,
122,"Mon Feb 16 2015 15:57:21 ","Mon Feb 16 2015 15:58:52 ",,,,,,,,,,,1,,,,,,,,,,,"18x20x2, 18x24x2, 18x25x2, 20x20x2, 20x21x2, 24x24",Best,$115.03,,$9.49,$124.52,,
123,"Mon Feb 16 2015 15:59:01 ","Mon Feb 16 2015 15:59:08 ",,,,,,,,,,,1,,,,,,,,,,,"18x20x2, 18x24x2, 18x25x2, 20x20x2, 20x21x2, 24x24",Best,$115.03,,$9.49,$124.52,,
124,"Mon Feb 16 2015 15:59:16 ","Mon Feb 16 2015 16:00:16 ",,,,,,,,,,,1,,,,,,,,,,,"18x20x2, 18x24x2, 18x25x2, 20x20x2, 20x21x2, 24x24",Better,$94.05,,$7.76,$101.81,,
125,"Mon Feb 16 2015 16:00:23 ","Mon Feb 16 2015 16:00:55 ",,,,,,,,,,,1,,,,,,,,,,,"18x20x2, 18x24x2, 18x25x2, 20x20x2, 20x21x2, 24x24",Best,$115.03,,$9.49,$124.52,,
126,"Mon Feb 16 2015 16:03:14 ","Mon Feb 16 2015 16:04:09 ",,,,,,,,,,,1,,,,,,,,,,,"12x24x2, 12x30x2, 14x20x2, 14x25x2, 15x20x2, 16x16",Good,$116.49,,$9.61,$126.10,,
127,"Mon Feb 16 2015 16:04:17 ","Mon Feb 16 2015 16:04:49 ",,,,,,,,,,,1,,,,,,,,,,,"12x24x2, 12x30x2, 14x20x2, 14x25x2, 15x20x2, 16x16",Better,$137.09,,$11.31,$148.40,,
128,"Tue Feb 17 2015 10:23:30 ","Tue Feb 17 2015 10:24:23 ",,,,,,,,,,,1,,,,,,,,,,,"16x25x1, ",Best,$0.00,,$0.00,$0.00,,
